start_time	end_time	Carton	Instructions	Phone	ReservoirUnit	YpsoPod
0.25	0.37	1600.0	1600.0	1600.0	1600.0	1600.0
0.388	1.018	453.5	0.0	273.0	312.3	1600.0
1.306	1.406	839.3	570.0	11.0	550.4	1600.0
1.416	2.765	613.2	332.2	0.0	339.0	1600.0
2.784	3.464	632.9	316.0	0.0	364.5	1600.0
3.484	4.004	610.1	320.4	0.0	337.8	1600.0
4.023	4.853	640.0	330.0	0.0	374.4	1600.0
4.864	5.843	600.4	331.5	0.0	331.6	1600.0
5.877	6.347	647.8	335.1	0.0	383.4	1600.0
6.362	6.842	614.5	342.5	0.0	345.1	1600.0
6.864	7.304	680.5	406.0	0.0	414.7	1600.0
7.316	9.355	651.7	391.6	0.0	408.3	1600.0
9.371	12.929	574.5	351.3	0.0	328.8	1600.0
12.953	13.143	461.7	330.0	0.0	220.6	1600.0
13.159	13.639	488.3	252.7	0.0	261.9	1600.0
13.652	15.631	485.2	271.5	0.0	260.3	1600.0
15.649	15.749	586.9	301.3	0.0	358.6	1600.0
15.768	17.177	594.6	398.2	0.0	359.4	1600.0
17.21	17.48	466.8	348.2	0.0	230.8	1600.0
17.49	18.08	481.3	271.3	0.0	257.4	1600.0
18.088	18.288	551.0	361.0	0.0	316.4	1600.0
18.33	18.57	584.9	378.2	0.0	350.0	1600.0
18.615	19.235	400.8	150.8	0.0	215.5	1600.0
19.249	19.439	451.1	231.4	0.0	239.7	1600.0
19.455	19.875	554.7	335.9	0.0	326.7	1600.0
19.926	20.536	429.8	116.5	0.0	250.7	1600.0
20.548	22.327	364.9	131.0	0.0	221.3	1600.0
22.357	22.677	432.0	56.0	0.0	291.2	1600.0
22.773	23.672	374.5	114.0	0.0	234.7	1600.0
23.753	24.323	313.5	162.3	0.0	164.8	1600.0
24.356	24.716	428.2	71.1	0.0	283.9	1600.0
24.734	25.384	358.0	149.2	0.0	206.5	1600.0
25.413	25.553	451.9	69.5	0.0	303.5	1600.0
25.574	26.054	433.5	152.6	0.0	264.6	1600.0
26.085	27.524	528.2	300.1	0.0	304.7	1600.0
27.551	27.881	499.8	167.6	0.0	304.6	1600.0
27.909	28.519	402.5	114.1	0.0	1600.0	1600.0
28.534	29.144	432.4	105.7	0.0	278.0	1600.0
29.172	29.932	392.5	100.2	0.0	283.7	1600.0
29.941	33.349	393.1	100.8	0.0	265.9	1600.0
33.367	33.787	466.9	124.1	0.0	287.1	1600.0
33.798	34.657	432.1	130.6	0.0	244.4	1600.0
34.68	34.9	402.2	181.9	0.0	199.2	1600.0
34.92	35.07	391.6	201.1	0.0	184.1	1600.0
35.09	35.56	479.4	149.7	0.0	271.4	1600.0
35.57	36.21	405.3	223.0	0.0	193.3	1600.0
37.306	38.046	510.6	188.7	0.0	299.8	1600.0
38.054	38.574	485.7	222.2	0.0	260.9	1600.0
38.584	38.824	432.0	266.6	0.0	211.6	1600.0
38.868	39.837	485.2	245.3	0.0	270.5	1600.0
39.877	40.037	437.8	285.2	0.0	217.2	1600.0
40.067	40.657	512.4	244.2	0.0	300.4	1600.0
